Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
8/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,213,8/1/19
8/1/19,Central Maine Power,N/A,Medium,CEP customers,5111,3686.090065,8/1/19
8/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6264,2570.500194,8/1/19
8/1/19,Central Maine Power,N/A,Small,CEP customers,88410,2130.408258,8/1/19
8/1/19,Central Maine Power,N/A,Small,Standard offer customers,539695,11396.69703,8/1/19
7/1/19,Central Maine Power,N/A,Medium,CEP customers,5109,3544.466194,7/1/19
7/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6312,2435.635968,7/1/19
7/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,830,972.5573182,7/1/19
7/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1055,541.1031016,7/1/19
7/1/19,Central Maine Power,N/A,Small,CEP customers,89985,1894.575097,7/1/19
7/1/19,Central Maine Power,N/A,Small,Standard offer customers,538564,10073.82042,7/1/19
7/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,413.6189677,7/1/19
7/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,4.515645161,7/1/19
7/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,601.4192374,7/1/19
7/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,175.1755946,7/1/19
7/1/19,Emera Maine,Maine Public District,Small,CEP customers,391,20.94467742,7/1/19
7/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36578,655.8296774,7/1/19
7/1/19,Emera Maine,Maine Public District,Medium,CEP customers,72,110.0509677,7/1/19
7/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,108,90.015,7/1/19
7/1/19,Central Maine Power,N/A,Large,CEP customers,357,9639.627452,7/1/19
7/1/19,Central Maine Power,N/A,Large,Standard offer customers,52,171.6282581,7/1/19
7/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11366,266.8175589,7/1/19
7/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116664,2258.276504,7/1/19
6/1/19,Central Maine Power,N/A,Large,CEP customers,311,4497.970967,6/1/19
6/1/19,Central Maine Power,N/A,Large,Standard offer customers,44,126.7458333,6/1/19
6/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11478,223,6/1/19
6/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,116341,1856,6/1/19
6/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,525,6/1/19
6/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,18,146,6/1/19
6/1/19,Central Maine Power,N/A,Medium,CEP customers,4787,3219.516967,6/1/19
6/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6004,2082.1351,6/1/19
6/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,364,6/1/19
6/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,5,6/1/19
6/1/19,Emera Maine,Maine Public District,Medium,CEP customers,72,106,6/1/19
6/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,108,89,6/1/19
6/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,831,814,6/1/19
6/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1054,437,6/1/19
6/1/19,Emera Maine,Maine Public District,Small,CEP customers,393,24,6/1/19
6/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36608,625,6/1/19
6/1/19,Central Maine Power,N/A,Small,CEP customers,83965,1663.045633,6/1/19
6/1/19,Central Maine Power,N/A,Small,Standard offer customers,509972,8747.200367,6/1/19
5/1/19,Central Maine Power,N/A,Large,CEP customers,354,7761.543968,5/1/19
5/1/19,Central Maine Power,N/A,Large,Standard offer customers,52,185.7820645,5/1/19
5/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,829,722.3485493,5/1/19
5/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1055,432.4029212,5/1/19
