"","ZIP","TOTAL_POP","TOTAL_ADULTS"
"220","ZCTA5 04530",10922,8603
"221","ZCTA5 04535",874,661
"222","ZCTA5 04537",2042,1822
"223","ZCTA5 04538",1907,1714
"224","ZCTA5 04539",1124,970
"225","ZCTA5 04541",43,43
"226","ZCTA5 04543",2037,1663
"227","ZCTA5 04544",675,613
"228","ZCTA5 04547",1118,882
"229","ZCTA5 04548",954,835
"230","ZCTA5 04551",788,620
"231","ZCTA5 04553",1750,1409
"232","ZCTA5 04554",846,685
"233","ZCTA5 04555",1713,1392
"234","ZCTA5 04556",1111,961
"235","ZCTA5 04558",144,144
"236","ZCTA5 04562",2101,1779
"237","ZCTA5 04563",1512,1204
"238","ZCTA5 04564",590,520
"239","ZCTA5 04568",418,372
"240","ZCTA5 04570",0,0
"241","ZCTA5 04571",406,350
"242","ZCTA5 04572",5009,4183
