entity_folder_id,entity_id,folder_name,folder_path,allow_rename_ind,allow_subfolder_ind,allow_upload_ind,allow_delete_ind,more_public_files_ind,parent_folder_id,file_count,create_ts,last_update_ts
81f39c42-ff61-e71f-6a78-1a5e7f5bdc27,3671,Political Files,Political Files,N,N,N,N,N,,307,2016-02-29T16:27:12-05:00,2016-02-29T16:27:12-05:00
9c9fc137-5553-1e94-4a9a-f830c5029eff,3671,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:27:12-05:00,2016-02-29T16:27:12-05:00
931f313e-cc86-edfb-0fe3-7a3352438433,66712,Political Files,Political Files,N,N,N,N,N,,258,2016-02-29T16:53:34-05:00,2016-02-29T16:53:34-05:00
caed4537-c6fe-f81f-0931-b0130ee113ba,66712,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:53:34-05:00,2016-02-29T16:53:34-05:00
ebe10952-6ad4-5961-920f-919355ded8a2,4090,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T16:28:31-05:00,2016-02-29T16:28:31-05:00
20108cfd-66d2-0801-a27e-870f3fcdc67b,4090,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:28:31-05:00,2016-02-29T16:28:31-05:00
7a5b3b5b-b54c-a61d-a975-d333d13caae1,4380,Political Files,Political Files,N,N,N,N,N,,375,2016-02-29T16:56:03-05:00,2016-02-29T16:56:03-05:00
1e83130c-7699-30aa-3be5-6d0cb91ac107,4380,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:56:03-05:00,2016-02-29T16:56:03-05:00
7a046a53-ce5c-6018-290f-d37a5f27e8b1,49564,Political Files,Political Files,N,N,N,N,N,,46,2016-02-29T16:33:34-05:00,2016-02-29T16:33:34-05:00
c563e2cb-5d26-78f0-da23-164e8ceb439d,49564,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:33:34-05:00,2016-02-29T16:33:34-05:00
86c56b51-732e-4d35-c7d9-d8309f46a893,25747,Political Files,Political Files,N,N,N,N,N,,218,2016-02-29T16:41:40-05:00,2016-02-29T16:41:40-05:00
40aef272-acbb-9a97-e3bd-fe2702ae14f1,25747,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,1,2016-02-29T16:41:40-05:00,2016-02-29T16:41:40-05:00
8ceac42f-1667-6a68-92b4-e4aee64197df,41105,Political Files,Political Files,N,N,N,N,N,,33,2016-02-29T15:48:28-05:00,2016-02-29T15:48:28-05:00
dbae6804-8f22-4cf7-6bd2-12364ae35fd4,41105,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T15:48:28-05:00,2016-02-29T15:48:28-05:00
c3381455-e6c1-7496-6bc4-74f4016715fc,28151,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T16:36:09-05:00,2016-02-29T16:36:09-05:00
193f337e-060e-4192-0f80-b4cf838a7326,28151,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:36:09-05:00,2016-02-29T16:36:09-05:00
593ddde4-77df-0520-2ad2-a87c5c81c42c,3134,Political Files,Political Files,N,N,N,N,N,,346,2016-02-29T15:51:19-05:00,2016-02-29T15:51:19-05:00
b403013c-057b-38a4-0154-14b26ab63485,3134,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T15:51:19-05:00,2016-02-29T15:51:19-05:00
93a6732e-9f04-11f2-a452-986ea9aafc3a,53405,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T17:00:32-05:00,2016-02-29T17:00:32-05:00
64e563d8-57ff-1031-6c29-2c096708692e,53405,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T17:00:32-05:00,2016-02-29T17:00:32-05:00
bbb9e4c8-94bf-3086-76cb-741ec3c94965,58726,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T16:13:59-05:00,2016-02-29T16:13:59-05:00
3dbda997-83f2-fade-9586-4d07c9f35838,58726,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:13:59-05:00,2016-02-29T16:13:59-05:00
28833c34-1025-75c6-d535-cf1bbfe7e139,60040,Political Files,Political Files,N,N,N,N,N,,0,2016-02-29T16:13:13-05:00,2016-02-29T16:13:13-05:00
c2b424ac-f1bf-718b-9f6b-955ed52c7ecb,60040,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:13:13-05:00,2016-02-29T16:13:13-05:00
027ff4dc-1516-f93f-c006-b5a6a41af83e,9180,Political Files,Political Files,N,N,N,N,N,,22,2016-02-29T16:58:19-05:00,2016-02-29T16:58:19-05:00
9d4d3a0e-fd2a-1cd4-0950-a3a341149a2a,9180,Political Matters and Controversial Issues Disclosures,Political Matters and Controversial Issues Disclosures,N,Y,Y,N,Y,,0,2016-02-29T16:58:19-05:00,2016-02-29T16:58:19-05:00
6ee7c76f-0cef-7854-6386-a58d7809e520,9284,Political Files,Political Files,N,N,N,N,N,,435,2016-02-29T16:31:34-05:00,2016-02-29T16:31:34-05:00
