,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
56817,,['P80003619'],C00432070,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",A,Authorized by a candidate,A,2007-02-05,2007-02-05,2015-08-06,DANNY HINKLE'S EXPLORATORY COMMITTEE FOR PRESIDENCY,,,IND,INDEPENDENT,NV,DANNY EUGENE HINKLE,,,,,,,,,,,,,,,,,,
56818,,['P60016946'],C00589812,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-10-16,2015-10-16,2018-04-26,DANNY WAYNE MARTIN,,,IND,INDEPENDENT,WY,DANNY WAYNE MARTIN,,,,,,,,,,,,,,,,,,
56821,,['P20002291'],C00487728,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,T,2010-08-17,2015-03-02,2015-03-09,DANY LAPORTE COMMITTEE,,,DEM,DEMOCRATIC PARTY,RI,DANY LAPORTE,,,,,,,,,,,,,,,,,,
56824,,['P20001376'],C00507749,P,Presidential,"[2012, 2014]",P,Principal campaign committee,T,2011-12-15,2011-12-15,2013-05-03,DARCY RICHARDSON FOR PRESIDENT COMMITTEE,,,,,FL,DARCY G RICHARDSON,,,,,,,,,,,,,,,,,,
56825,,['P40003485'],C00405738,P,Presidential,"[2004, 2006]",P,Principal campaign committee,A,2004-09-10,2004-09-10,2005-11-10,DARIN JACKSON,,,DEM,DEMOCRATIC PARTY,MD,DARIN JACKSON,,,,,,,,,,,,,,,,,,
56826,,['P80005606'],C00451534,P,Presidential,"[2008, 2010, 2012, 2014]",P,Principal campaign committee,A,2008-06-11,2008-06-11,2014-01-10,DARIN MEYER FOR PRESIDENT,,,IND,INDEPENDENT,NY,DARIN MEYER,,,,,,,,,,,,,,,,,,
56828,,['P80001753'],C00324764,P,Presidential,"[1996, 1998]",P,Principal campaign committee,A,1996-11-06,1996-11-06,1997-07-15,DARKEST HORSE OF THE CENTURY CAMPAIGN COMMITTEE; THE,,,IND,INDEPENDENT,NY,ARTHUR JOHNSON,,,,,,,,,,,,,,,,,,
56829,,['P20001913'],C00382747,P,Presidential,"[2002, 2004, 2006]",P,Principal campaign committee,A,2002-10-15,2002-10-15,2006-07-14,DARREN FOR PRESIDENT COMMITTEE,,,IND,INDEPENDENT,OR,BRAEDIE LOUISE TOBIAS,,,,,,,,,,,,,,,,,,
56831,,['P60005832'],C00572875,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-02-11,2015-05-05,2018-04-26,DARWIN REEDY FOR PRESIDENT,,,,,TX,SHERRY REEDY,,,,,,,,,,,,,,,,,,
56832,,['P20003034'],C00497750,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-06-20,2011-06-20,2015-09-11,DAVE MONTGOMERY FOR PRESIDENT,,,DEM,DEMOCRATIC PARTY,CA,JERI LYNN MORROW,,,,,,,,,,,,,,,,,,
